directions__001,directions__002,directions__003,directions__004,directions__005,directions__006,fat,categories,calories,protein,rating,title,ingredients,sodium
"1. Place the stock, lentils, celery, carrot, thyme, and salt in a medium saucepan and bring to a boil. Reduce heat to low and simmer until the lentils are tender, about 30 minutes, depending on the lentils. (If they begin to dry out, add water as needed.) Remove and discard the thyme. Drain and transfer the mixture to a bowl; let cool. ","2. Fold in the tomato, apple, lemon juice, and olive oil. Season with the pepper.","3. To assemble a wrap, place 1 lavash sheet on a clean work surface. Spread some of the lentil mixture on the end nearest you, leaving a 1-inch border. Top with several slices of turkey, then some of the lettuce. Roll up the lavash, slice crosswise, and serve. If using tortillas, spread the lentils in the center, top with the turkey and lettuce, and fold up the bottom, left side, and right side before rolling away from you.",,,,7,"Bean, Tomato, Turkey,  Apple, Lentil, Lettuce, Cookie, Celery, Chicken, Carrot, Thyme, Lemon, Olive Oil, Black Pepper, Tortillas",426,30,2.5,"Lentil, Apple, and Turkey Wrap ","4 cups low-sodium vegetable or chicken stock, 1 cup dried brown lentils, 1/2 cup dried French green lentils, 2 stalks celery, chopped, 1 large carrot, peeled and chopped, 1 sprig fresh thyme, 1 teaspoon kosher salt, 1 medium tomato, cored, seeded, and diced,  1 small Fuji apple, cored and diced, 1 tablespoon freshly squeezed lemon juice, 2 teaspoons extra-virgin olive oil, Freshly ground black pepper to taste, 3 sheets whole-wheat lavash, cut in half crosswise, or 6 (12-inch) flour tortillas, 3/4 pound turkey breast, thinly sliced, 1/2 head Bibb lettuce  ",559
"Combine first 9 ingredients in heavy medium saucepan. Add 3 shallots. Bring to simmer. Remove from heat, cover and let stand 30 minutes. Chill overnight.","Preheat oven to 325濉F. Line 7-cup p挞t泰 or bread pan with plastic wrap. Melt butter in heavy small skillet over low heat. Add remaining 5 shallots. Cover and cook until very soft, stirring occasionally, about 15 minutes. Transfer to processor. Add pork, eggs, flour and Port and puree. Strain cream mixture, pressing on solids to extract as much liquid as possible. With processor running, add cream through feed tube and process just until combined with pork. Transfer to large bowl. Mix in currants.","Spoon mixture into prepared pan. Cover with foil. Place pan in large pan. Add boiling water to larger pan to within 1/2 inch of top of terrine. Bake until terrine begins to shrink from sides of pan and knife inserted into center comes out clean, about 1 1/2 hours. Uncover and cool on rack. Chill until cold. (Can be made 3 days ahead. Cover and chill.)",Line platter with lettuce. Arrange terrine atop. Sprinkle with pepper and parsley. Garnish with bay leaves. Spoon confit around sides. Serve with bread.,"Heat oil in heavy large skillet over medium-high heat. Add onions and saut泰 until crisp-tender, about 8 minutes. Add all remaining ingredients and stir until reduced to thick glaze, about 4 minutes. Season with salt and pepper. (Can be prepared 2 days ahead. Cover and chill.) Serve warm or at room temperature.",,23,"Onion, Pork, Dried Fruit, Port, Whipping cream, Salt, Bay Leaves, Garlic Clove, Pepper, Ground Nutmeg, Thyme, Shallots, Butter, Eggs, Flour, Currants, Lettuce, Red Wine Vinegar, Baugette",403,18,4.375,Boudin Blanc Terrine with Red Onion Confit,"1 1/2 cups whipping cream, 2 medium onions, chopped, 2 medium onions, chopped, 5 teaspoons salt, 3 bay leaves, 3 whole cloves, 1 large garlic clove crushed, 1 teaspoon pepper, 1/8 teaspoon ground nutmeg, Pinch of dried thyme crumbled, 8 large shallots minced, 1 tablespoon butter, 1 pound trimmed boneless center pork loin sinew removed cut into 1-inch chunks well chilled, 3 eggs, 6 tablespoon all purpose flour, 1/4 cup tawny Port, 3 tablespoons dried currants, minced, Lettuce leaves, Cracked peppercorns, Minced fresh parsley, Bay leaves, French bread baguette slices, 3 tablespoons olive oil, 2 large red onions halved sliced, 3 tablespoons dried currants, 3 tablespoons red wine vinegar, 1 tablespoons canned chicken broth, 2 teaspoons chopped fresh thyme or 3/4 teaspoon dried crumbled, 1/2 teaspoon sugar",1439
"In a large heavy saucepan cook diced fennel and onion in butter over moderate heat, stirring, until softened, about 10 minutes. Peel and cube potatoes. Add potatoes and broth to fennel mixture and simmer, covered, until potatoes are very tender, about 20 minutes. In a blender or food processor pur泰e mixture in batches until smooth and return to saucepan. Stir in milk and salt and pepper to taste and simmer soup, stirring occasionally, 10 minutes, or until heated through.",Garnish soup with reserved fennel leaves.,,,,,7,"Potato, Vegetable, Fennel, Onion, Butter, Chicken, Milk",165,6,3.75,Potato and Fennel Soup Hodge,"1 fennel bulb (sometimes called anise) stalks discarded bulb cut into 1/2-inch dice  and feathery leaves reserved for garnish,  1 onion diced, 2 tablespoons unsalted butter, 2 medium russet (baking) potatoes, 2 cups chicken broth, 1 1/2 cups milk",165
"Heat oil in heavy large skillet over medium-high heat. Add onion; saut泰 until translucent and beginning to brown, about 4 minutes. Add wine and anchovy paste. Boil until reduced to 3/4 cup, about 3 minutes. Add tomatoes with juice; bring to boil.","Sprinkle fish with salt and pepper. Add fish to skillet atop tomato mixture. Reduce heat to low, cover, and simmer until fish is cooked through, about 9 minutes. Using slotted metal spatula, transfer fish to plate and tent with foil to keep warm. Mix olives, 2 teaspoons oregano, and orange peel into sauce in skillet. Increase heat to high and boil until sauce is reduced and thickened, about 6 minutes. Season to taste with salt and pepper. Place 1 fish fillet on each of 4 plates. Pour sauce over and around fish, sprinkle with remaining 1 teaspoon oregano, and serve with warm toasted bread.",,,,,null,"Fish, Olive Oil, Tomato, Onion, White Wine, Anchovy, Garlic, Basil, Oregano, Fillets, Orange, White Bread",null,null,5,Mahi-Mahi in Tomato Olive Sauce,"2 tablespoons extra-virgin olive oil, 1 cup chopped onion, 1 cup dry white wine, 1 teaspoon anchovy paste, 2 14 1/2-ounce cans diced tomatoes with garlic, basil, and oregano in juice, 4 6-ounce mahi-mahi fillets, 1/2 cup large green olives, quartered, pitted, 3 teaspoons chopped fresh oregano, divided, 1 teaspoon (packed) finely grated orange peel, Country-style white bread cut into 1/2-inch-thick slices, toasted",null
"Preheat oven to 350F. Lightly grease 8x8x2-inch glass baking dish. Blend spinach, noodles, sour cream, pesto sauce and nutmeg in large bowl. Spoon mixture into prepared dish. Sprinkle cheese over. Bake until set, about 45 minutes. Let stand 10 minutes.",,,,,,32,"Cheese, Pasta, , Sour Cream, Spinach Souffle, Spinach, Egg Noodles",547,20,3.125,Spinach Noodle Casserole,"1 12-ounce package frozen spinach souffle thawed, 1/2 pound extra-wide egg noodles freshly cooked, 1 cup sour cream, 2 tablespoons purchased pesto sauce, 1/4 teaspoon ground nutmeg, 1 cup grated sharp cheddar cheese",452
"Mix basil, mayonnaise and butter in processor until basil is finely chopped and mixture is well blended. Season to taste with salt and pepper. (Can be made 1 day ahead. Cover and refrigerate.)","Cook bacon in heavy large skillet over medium-high heat until crisp, about 8 minutes. Transfer to paper towels; drain.","Spread half of mayonnaise mixture over 1 side of 6 bread slices. Top each with 2 tomato slices. Sprinkle tomatoes with salt and pepper. Top tomato slices with avocado, then with bacon strips, onion and lettuce. Spread remaining mayonnaise mixture over remaining 6 bread slices. Place bread slices atop lettuce. Cut sandwiches in half and serve.",,,,79,"Tomato, Basil, Bacon, Lettuce, Mayonnaise, Avocado, White Bread, Butter",948,19,4.375,The Best Blts,"2 1/2 cups (lightly packed) fresh basil leaves, 1 cup mayonnaise, 1/4 cup butter room temperature, 12 thick-sliced bacon strips (about 1 pound), 12 1/2-inch-thick slices fresh country-style white bread, 3 large tomatoes, cut into, 1/4-inch-thick rounds, 2 ripe avocados, pitted, peeled, sliced, 1 red onion, thinly sliced, 6 lettuce leaves",1042
"Cook potatoes and carrots in large pot of boiling salted water until almost tender, about 7 minutes. Add asparagus and peas; cook until vegetables are just tender, about 3 minutes longer. Drain. Rinse with cold water; drain. Transfer to large bowl. (Can be prepared 1 day ahead. Cover; chill.)",Add ham to vegetables. Add Shallot Vinaigrette to salad and toss to coat. Season to taste with salt and pepper.,Line bowl with spinach. Top with salad and serve.,,,,null,"Salad,  Ham, Asparagus, Spinach, Carrot, Sugar, Snap Pea, Shallot ",null,null,4.375,Ham and Spring Vegetable Salad with Shallot Vinaigrette,"1 1/2 pounds small red-skinned potatoes each cut into 8 wedges, 1 1/2 pounds baby carrots peeled and cut lengthwise in half, 1 1/2 pounds asparagus trimmed and cut into 2-inch pieces, 6 ounces sugar snap peas trimmed,18 ounces low-fat (97% fat-free) smoked ham cut into 1/4-inch-thick slices and then into 2-inch-long by 1/2-inch-wide pieces, Shallot Vinaigrette, 1 6-ounce package fresh baby spinach",null
"Stir together sugar and chili powder. Whisk egg whites with water until dissolved. Working with 1 kumquat at a time, dip 1 side in whites, letting excess drip off, then dip in sugar mixture. Transfer to a rack to dry, coated side up.",,,,,,null,"Egg, Sugar, Chilli Powder, Egg Whites, Kumquats",null,null,3.75,Spicy-Sweet Kumquats,"6 tablespoons granulated sugar, 1 1/2 tablespoons chili powder, 4 teaspoons powdered egg whites (see Cooks' notes), 1/4 cup warm water, 60 kumquats (preferably thin-skinned)",null
"Stir together soy sauce, sugar, sesame oil, white and pale green scallions, garlic, ginger, and 2 tablespoons sesame seeds in a bowl until sugar is dissolved. Add steak and toss to coat, then marinate 15 minutes.","Heat vegetable oil in a 12-inch heavy skillet over high heat until just smoking, then add steak in 1 layer and saut泰, turning over occasionally, until browned and just cooked through, about 5 minutes total. Transfer to a platter and sprinkle with scallion greens and remaining 1 tablespoon sesame seeds, then serve with accompaniments.",*Available at Asian markets and many supermarkets.,,,,10,"Garlic, Ginger, Soy Sauce, Sesame Seeds, Sesame Sauce, Kimchi, Steak, Lettuce, Vegetable Oil, Scallions, White Rice
",170,7,4.375,Korean Marinated Beef,"1/4 cup soy sauce, 1 tablespoon sugar, 2 teaspoons Asian sesame oil, 1 bunch scallions (white and pale green parts separated from greens) minced (1/2 cup), 1 tablespoon minced garlic, 1 tablespoon minced peeled fresh ginger, 3 tablespoons sesame seeds, toasted, 1 lb flank steak, cut across the grain into very thin slices (no more than 1/8 inch thick), 1 tablespoon vegetable oil, Accompaniments: butter lettuce or other soft-leaf lettuce; thinly sliced garlic; packaged kimchi*; steamed white rice",1272
"Chop enough parsley leaves to measure 1 tablespoon; reserve. Chop remaining leaves and stems and simmer with broth and garlic in a small saucepan, covered, 5 minutes.","Meanwhile, sprinkle gelatin over water in a medium bowl and let soften 1 minute. Strain broth through a fine-mesh sieve into bowl with gelatin and stir to dissolve. Season with salt and pepper. Set bowl in an ice bath and cool to room temperature, stirring.","Toss ham with reserved parsley and divide among jars. Pour gelatin on top and chill until set, at least 1 hour.","Whisk together mayonnaise, mustard, vinegar, 1/4 teaspoon salt, and 1/4 teaspoon pepper in a large bowl. Stir in celery, cornichons, and potatoes.","Pulse peas with marjoram, oil, 1/2 teaspoon pepper, and 1/4 teaspoon salt in a food processor to a coarse mash.","Layer peas, then potato salad, over ham.",41,"Salad, Mustard, Potato, Mayonnaise, Ham, Pea, Sugar, Parsley, Chicken, Garlic, Gelatin, Vinegar, Cornichons, Gherkins, Baby Peas, Marjoram, Olive Oil, Celery",602,23,3.75,Ham Persillade with Mustard Potato Salad and Mashed Peas,"6 long parsley sprigs divided, ",1696
"Heat oil in heavy large skillet over medium-high heat. Add shallots and minced rosemary and sauté until tender, about 3 minutes. Add yams and broth to skillet and bring to boil. Cover skillet, reduce heat to medium-low and simmer until yams are almost tender, about 10 minutes. Add cream and sprinkle lightly with nutmeg. Simmer uncovered until yams are very tender and liquid thickens and coats yams, about 4 minutes. Season with salt and pepper. (Can be made 1 day ahead. Transfer to microwave-safe dish. Chill until cold, then cover and keep chilled. Rewarm, covered, in microwave on medium-low heat.)",,,,,,5,"Milk, Cream, Rosemary, Sweet Potato, Yam, Nutmeg, Shallots, Chicken Broth",256,4,3.75,"Yams Braised with Cream, Rosemary and Nutmeg","4 teaspoons olive oil, 1/2 cup finely chopped shallots, 2 1/2 teaspoons minced fresh rosemary, 3 pounds yams (red-skinned sweet potatoes) peeled and cut into 1/2-inch-thick rounds with rounds cut in half, 1 1/4 cups canned low-salt chicken broth, 1/2 cup whipping cream, Ground nutmeg",30
Preheat oven to 300°F.,"Wrap blacan tightly in a piece of foil and roast in middle of oven 10 minutes. Unwrap and cool. Discard tough outer leaves of lemongrass and trim root ends. Thinly slice lower 6 inches of stalks. Fold upper stalks into thirds and tie into a bundle with kitchen string. In 2 batches, purée blacan, sliced lemongrass, and remaining spice paste ingredients in a mini food processor until almost smooth.","Soak bean-curd puffs in hot water in a bowl, weighted with another bowl of water to keep puffs immersed, 20 minutes. Squeeze as much water as possible from puffs and halve diagonally. While puffs soak, simmer chicken in stock in a saucepan, turning occasionally, until just cooked through, 12 to 15 minutes, and cool chicken in a bowl. Pour stock through a fine sieve into another bowl. Discard chicken skin and bones and shred or slice chicken. Blanch bean sprouts in a pot of boiling water 15 seconds and drain well.","Heat oil in a 6- to 7-quart heavy pot over moderate heat until hot but not smoking and stir in spice paste. (Oil should be hot enough for spice paste to sizzle when added.) Cook, stirring constantly, until spice paste begins to stick to bottom of pot, 8 to 10 minutes. (Oil will separate out, and mixture will appear curdled. Paste will reduce and turn a shade darker; do not let brown.) Add coconut milk, sugar, stock, and lemongrass bundle and bring to a simmer, stirring. Stir in puffs and gently simmer 20 minutes. Stir in shrimp and simmer until just cooked through, 1 to 2 minutes. Stir in chicken and salt to taste.","While laksa simmers, bring a large pot of water to a boil for noodles. If using fresh noodles, cook 1 minute and drain well, rinsing briefly under water if sticking occurs. If using dried noodles, cook according to package directions. Divide noodles, bean sprouts, shrimp, chicken, and puffs among 4 deep bowls and ladle laksa broth over.",,null,"Chicken, Garlic, Ginger, Pepper, Coconut, Shrimp, Lemongrass, Blacan, Lemongrass, Galangal, Turmeric, Onion, Red Chiles, Candlenuts, Macadamia, Bean-Curd Puffs, Olive Oil, Sugar, Rice Noodles, Cilantro",,,,Spicy Noodle Soup,"11/2 teaspoons blacan (shrimp paste), 2 thick or 3 thin stalks fresh lemongrass, 11/2 tablespoons chopped peeled fresh or frozen galangal, 1 tablespoon chopped peeled fresh ginger, 1 tablespoon chopped peeled fresh or frozen turmeric or 1 teaspoon turmeric powder, 1 medium onion, chopped, 6 fresh hot red chiles (such as Thai or serrano), seeded if desired and chopped, 2 garlic cloves, chopped, 5 candlenuts (do not eat raw) or macadamia nuts and chopped, 2 tablespoons water, 6 fried bean1-curd puffs, 2 chicken breast halves with skin and bones, 31/2 cups chicken stock (preferably homemade), 6 oz fresh bean sprouts (21/2 cups), threadlike tails discarded, 1/2 cup olive or vegetable oil, 14-oz can well-shaken unsweetened coconut milk, 1 tablespoon sugar, 1/2 lb medium shrimp, shelled and deveined, 1 lb fresh round (not flat) rice noodles or wheat noodles or 1/2 lb dried egg noodles, Garnish: fresh cilantro sprigs",null
